Image,Persons/Photos,Desktop/Windows/SlideViewer,Text/Logo in Image,Arrow/Annotation,Image Perspective/Quality,Additional (On-Slide) Overview,Additional Control Elements,Multi-Panel Image
images/reoEVXvoUmI_image_895c8166-77f2-4895-a6a7-ad0deaf0766e.jpg,False,False,True,False,False,False,False,True
images/A827AqWumx0_image_df0e0cfe-4694-42bb-b366-ad86650f7396.jpg,False,False,False,True,False,True,True,False
images/ut8DQKqf9zA_image_93b2b273-f5f5-4e34-9ed2-d27aad4a0fd0.jpg,True,True,False,False,False,False,True,False
images/Onz-nqUc58Y_image_13f41bce-4454-48f7-b236-6750298ef685.jpg,False,True,False,False,False,True,False,False
images/LP61eoq71Os_image_ca403bfe-2eb9-4b91-be22-c3b78b210058.jpg,False,True,False,False,False,False,True,False
images/h0kg55HklCU_image_785cfbe3-37e1-4ac1-b351-82f0ebeb3557.jpg,True,True,False,False,False,False,True,False
images/1336075746578751494_1.jpg,False,False,True,True,True,False,False,False
images/jSuSdhyeY2w_image_6263a51b-9e54-4f39-8ebe-3ff7ce26f619.jpg,False,True,False,False,False,False,False,False
images/PteVHfIpIHg_image_860daf8a-973e-4ed1-b93f-e70cec7138b5.jpg,False,False,False,False,False,False,True,False
images/WLlU6H2DYoA_image_6bfd3621-4fec-4415-a8bb-eb3b3558d928.jpg,False,False,False,False,False,True,True,False
images/_vnXVv1_Ai8_image_fc0463f3-774d-4195-a823-b1fbb531b9e2.jpg,False,False,True,True,False,False,True,False
images/U1evJJAdGwk_image_3ff2a8a9-f991-4dbc-9f11-72df68e053bb.jpg,True,True,False,False,False,False,True,False
images/bJME-CJvHfs_image_2eb3b676-96e9-4eec-8575-f7603359d2c2.jpg,False,False,False,False,False,True,True,False
images/w3JFv2XveqQ_image_73074779-a334-45ca-a524-f68d040e14f5.jpg,True,True,False,False,False,False,True,False
images/yhE3927Fe18_image_dee729ad-85f0-4980-823a-298ac89db655.jpg,False,False,True,False,False,False,False,False
images/Q88yDU-Pyis_image_bf236c5a-0e5c-422f-a34b-a94e7943edae.jpg,False,False,False,False,False,True,True,False
images/16d2778c-71a5-472a-b74f-3e4f8f042d15.jpg,False,False,False,False,False,False,False,False
images/EchGRGULuS8_image_cc35f35e-9919-48a3-86cf-8bcad47f21fd.jpg,False,False,False,False,False,False,False,False
images/bTP2hAG0wcM_image_9c852aeb-82f6-41bc-a085-dd1e0a14ef01.jpg,False,False,False,False,False,True,False,False
images/aL1CQQXIb0E_image_bb7174ee-53b3-4553-b634-954a6f61f2fe.jpg,False,True,False,False,False,False,False,False
images/1113745167368978432_2.jpg,False,False,False,False,False,False,False,False
